respondent_id,anxiety_score
0,49
1,70
2,47
3,59
4,44
5,23
6,42
7,34
8,28
9,42
10,68
11,61
12,44
13,41
14,60
15,49
16,37
17,41
18,66
19,26
20,35
21,76
22,43
23,59
24,39
25,44
26,27
27,67
28,51
29,48
30,38
31,55
32,28
33,36
34,53
35,50
36,52
37,38
38,60
39,47
40,47
41,51
42,53
43,35
44,35
45,37
46,35
47,31
48,30
49,26
50,46
51,61
52,31
53,59
54,57
55,26
56,74
57,58
58,71
59,37
60,49
61,51
62,44
63,58
64,73
65,42
66,53
67,41
68,67
69,43
70,64
71,46
72,28
73,64
74,40
75,35
76,50
77,30
78,68
79,47
80,59
81,37
82,56
83,31
84,65
85,56
86,32
87,55
88,51
89,59
90,52
91,51
92,31
93,70
94,49
95,46
96,40
97,44
98,40
99,63
100,56
101,48
102,47
103,70
104,79
105,59
106,55
107,41
108,32
109,52
110,48
111,30
112,64
113,52
114,60
115,47
116,42
117,52
118,45
119,33
120,43
121,48
122,59
123,64
124,46
125,53
126,69
127,49
128,45
129,41
130,54
131,42
132,53
133,42
134,47
135,55
136,84
137,44
138,40
139,50
140,48
141,68
142,49
143,49
144,64
145,44
146,27
147,55
148,33
149,39
150,64
151,49
152,23
153,30
154,42
155,64
156,33
157,50
158,28
159,45
160,57
161,55
162,39
163,37
164,46
165,63
166,61
167,57
168,49
169,34
170,65
171,23
172,51
173,48
174,45
175,49
176,34
177,54
178,58
179,44
180,40
181,46
182,42
183,48
184,51
185,64
186,35
187,71
188,45
189,67
190,42
191,57
192,38
193,43
194,47
195,41
196,37
197,61
198,62
199,49
200,70
201,20
202,28
203,55
204,60
205,40
206,51
207,46
208,47
209,43
210,45
211,42
212,67
213,66
214,59
215,62
216,56
217,60
218,39
219,61
220,57
221,55
222,52
223,51
224,53
225,48
226,47
227,28
228,43
229,54
230,69
231,62
232,46
233,33
234,26
235,66
236,46
237,54
238,48
239,67
240,27
241,42
242,60
243,64
244,42
245,33
246,60
247,60
248,48
249,49
250,58
251,31
252,33
253,67
254,37
255,60
256,43
257,34
258,36
259,56
260,56
261,34
262,22
263,41
264,47
265,60
266,44
267,67
268,35
269,50
270,52
271,44
272,46
273,43
274,48
275,40
276,33
277,45
278,51
279,53
280,56
281,39
282,38
283,55
284,51
285,47
286,29
287,50
288,52
289,76
290,42
291,38
292,59
293,49
294,50
295,53
296,32
297,48
298,55
299,47
300,43
301,57
302,47
303,47
304,31
305,42
306,39
307,33
308,37
309,42
310,47
311,85
312,38
313,35
314,45
315,48
316,54
317,38
318,55
319,27
320,54
321,57
322,58
323,66
324,46
325,46
326,48
327,79
328,56
329,58
330,55
331,55
332,68
333,51
334,43
335,42
336,56
337,46
338,52
339,48
340,48
341,42
342,55
343,43
344,63
345,45
346,50
347,39
348,35
349,36
350,40
351,39
352,41
353,23
354,50
355,44
356,27
357,77
358,40
359,58
360,34
361,55
362,66
363,45
364,31
365,53
366,59
367,41
368,43
369,23
370,54
371,43
372,36
373,65
374,50
375,58
376,44
377,36
378,42
379,34
380,54
381,30
382,37
383,32
384,50
385,54
386,26
387,60
388,51
389,37
390,44
391,48
392,58
393,52
394,45
395,35
396,38
397,28
398,58
399,48
400,36
401,38
402,64
403,55
404,53
405,37
406,60
407,60
408,61
409,47
410,33
411,63
412,42
413,41
414,44
415,59
416,60
417,60
418,72
419,56
420,30
421,56
422,60
423,48
424,51
425,60
426,76
427,32
428,68
429,39
430,60
431,47
432,44
433,61
434,31
435,54
436,39
437,59
438,52
439,62
440,35
441,63
442,50
443,42
444,43
445,41
446,52
447,45
448,40
449,45
450,35
451,59
452,54
453,32
454,64
455,35
456,26
457,23
458,48
459,44
460,37
461,55
462,47
463,29
464,55
465,32
466,26
467,76
468,56
469,59
470,43
471,63
472,60
473,50
474,45
475,24
476,54
477,55
478,46
479,57
480,60
481,51
482,67
483,64
484,50
485,57
486,68
487,48
488,55
489,50
490,40
491,57
492,54
493,36
494,50
495,51
496,57
497,51
498,54
499,49
500,58
501,53
502,56
503,47
504,55
505,66
506,51
507,31
508,31
509,44
510,43
511,50
512,35
513,31
514,46
515,57
516,43
517,45
518,56
519,40
520,46
521,26
522,34
523,47
524,55
525,49
526,65
527,32
528,44
529,53
530,47
531,28
532,69
533,42
534,60
535,69
536,40
537,64
538,51
539,65
540,39
541,47
542,50
543,28
544,54
545,96
546,63
547,56
548,42
549,59
550,52
551,45
552,39
553,41
554,58
555,25
556,33
557,52
558,48
559,37
560,50
561,46
562,50
563,61
564,52
565,39
566,50
567,54
568,46
569,63
570,55
571,53
572,31
573,32
574,53
575,48
576,26
577,80
578,41
579,57
580,67
581,46
582,31
583,68
584,36
585,40
586,25
587,44
588,56
589,40
590,50
591,54
592,77
593,59
594,58
595,42
596,41
597,30
598,40
599,57
600,35
601,44
602,32
603,61
604,38
605,40
606,39
607,46
608,42
609,43
610,49
611,51
612,50
613,40
614,47
615,58
616,56
617,40
618,57
619,51
620,54
621,53
622,47
623,51
624,45
625,55
626,29
627,48
628,49
629,57
630,47
631,38
632,41
633,43
634,45
635,28
636,46
637,45
638,37
639,68
640,54
641,55
642,58
643,47
644,45
645,48
646,51
647,37
648,66
649,48
650,68
651,60
652,51
653,59
654,34
655,36
656,25
657,42
658,43
659,40
660,53
661,69
662,55
663,29
664,49
665,55
666,59
667,49
668,52
669,59
670,56
671,64
672,31
673,61
674,47
675,38
676,47
677,35
678,68
679,52
680,26
681,38
682,60
683,60
684,42
685,65
686,35
687,53
688,44
689,32
690,50
691,22
692,35
693,47
694,72
695,65
696,68
697,29
698,48
699,47
700,39
701,33
702,43
703,48
704,45
705,28
706,54
707,23
