respondent_id,Please indicate your age,Please indicate your race - Selected Choice,Please indicate your race - Other - Text,Are you Hispanic or Latino?,How would you describe the area where you grew up?,How would you describe the area in which you currently live?,In which region of the United States do you currently live?,Please indicate your annual household income,Education,Which employment status best describes you?,How would you describe your current living situation (check all that apply) - Selected Choice,How would you describe your current living situation (check all that apply) - Other - Text,Please indicate your political identification,Please indicate your gender
0,60-69,White,,Yes,Rural,Rural,West,"$15,000 - $24,999","High school graduate, GED, or equivalent",Retired,I live with a spouse or romantic partner,,Moderate,Male
1,60-69,White,,Yes,Suburban,Suburban,South,"$100,000 - $149,999",Bachelor's degree,Working full-time,I live with a spouse or romantic partner,,Somewhat conservative,Male
2,50-59,White,,Yes,Urban,Urban,South,"$15,000 - $24,999","High school graduate, GED, or equivalent",Unemployed,I live alone,,Moderate,Female
3,50-59,White,,Yes,Suburban,Suburban,West,"$35,000 - $49,999",Bachelor's degree,Unemployed,I live with family members,,Very conservative,Female
4,70-79,White,,Yes,Urban,Suburban,South,"$35,000 - $49,999",Bachelor's degree,Retired,I live with family members,,Somewhat conservative,Female
5,60-69,White,,Yes,Urban,Urban,Midwest,"$100,000 - $149,999","High school graduate, GED, or equivalent",Working full-time,I live with a spouse or romantic partner,,Somewhat conservative,Male
6,60-69,White,,Yes,Suburban,Urban,Midwest,"$25,000 - $34,999","High school graduate, GED, or equivalent",On disability,I live with a spouse or romantic partner,,Somewhat liberal,Male
7,50-59,White,,Yes,Urban,Urban,West,"$50,000 - $74,999",Bachelor's degree,Working full-time,I live with family members,,Somewhat conservative,Male
8,60-69,White,,Yes,Urban,Urban,South,"$10,000 - $14,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Moderate,Female
9,50-59,Black or African American,,Yes,Urban,Urban,Northeast,"Less than $10,000",Some college or associate's degree,On disability,I live with a spouse or romantic partner,,Somewhat liberal,Female
10,50-59,White,,Yes,Suburban,Suburban,South,"$15,000 - $24,999",Some college or associate's degree,Retired,I live with family members,,Very conservative,Female
11,50-59,White,,Yes,Urban,Urban,South,"$15,000 - $24,999",Bachelor's degree,Working full-time,I live with family members,,Moderate,Female
12,70-79,White,,Yes,Suburban,Suburban,West,"$50,000 - $74,999",Some college or associate's degree,Retired,I live alone,,Moderate,Female
13,50-59,White,,Yes,Rural,Urban,Northeast,"Less than $10,000",Some college or associate's degree,On disability,I live with family members,,Moderate,Female
14,70-79,White,,Yes,Suburban,Suburban,West,"$50,000 - $74,999","High school graduate, GED, or equivalent",Retired,I live with a spouse or romantic partner,,Somewhat conservative,Female
15,60-69,White,,Yes,Rural,Urban,West,"$15,000 - $24,999",Some college or associate's degree,On disability,I live with family members,,Somewhat liberal,Female
16,60-69,Black or African American,,Yes,Urban,Urban,Midwest,"$50,000 - $74,999",Some college or associate's degree,Working full-time,I live with a spouse or romantic partner,,Moderate,Male
17,50-59,White,,Yes,Suburban,Suburban,Midwest,"$25,000 - $34,999",Some college or associate's degree,On disability,I live with a spouse or romantic partner,,Very conservative,Female
18,50-59,White,,Yes,Urban,Urban,Northeast,"$50,000 - $74,999",Graduate or professional degree,Working full-time,I live with a spouse or romantic partner,,Moderate,Female
19,60-69,White,,Yes,Urban,Urban,South,"$100,000 - $149,999",Some college or associate's degree,Working full-time,I live with a spouse or romantic partner,,Somewhat conservative,Male
20,60-69,White,,Yes,Rural,Suburban,South,"$75,000 - $99,999",Some college or associate's degree,Working full-time,I live with a spouse or romantic partner,,Very conservative,Female
21,60-69,Black or African American,,No,Urban,Urban,West,"$10,000 - $14,999",Some college or associate's degree,On disability,I live alone,,Somewhat conservative,Female
22,60-69,White,,No,Urban,Urban,West,"$100,000 - $149,999",Graduate or professional degree,On disability,I live with a spouse or romantic partner,,Very liberal,Male
23,50-59,American Indian or Alaska Native,,Yes,Urban,Rural,Northeast,"$10,000 - $14,999","High school graduate, GED, or equivalent",On disability,I live alone,,Very liberal,Female
24,50-59,White,,Yes,Rural,Rural,South,"$35,000 - $49,999","High school graduate, GED, or equivalent",Unemployed,I live with a spouse or romantic partner,,Moderate,Female
25,70-79,White,,No,Suburban,Suburban,South,"$15,000 - $24,999",Some college or associate's degree,Retired,I live alone,,Somewhat conservative,Female
26,60-69,Other,Mixed,Yes,Suburban,Suburban,Northeast,"$50,000 - $74,999",Graduate or professional degree,Working part-time,I live alone,,Moderate,Female
27,50-59,White,,Yes,Urban,Rural,Midwest,"$50,000 - $74,999",Some college or associate's degree,Working full-time,I live with a spouse or romantic partner,,Somewhat liberal,Female
28,70-79,Other,Hispanic,Yes,Rural,Rural,Midwest,"$25,000 - $34,999","High school graduate, GED, or equivalent",Retired,I live with a spouse or romantic partner,,Somewhat liberal,Male
29,50-59,White,,No,Suburban,Suburban,South,"$50,000 - $74,999",Bachelor's degree,Unemployed,I live with a spouse or romantic partner,,Very conservative,Female
30,50-59,Black or African American,,No,Urban,Urban,West,"$10,000 - $14,999",Some college or associate's degree,Retired,I live alone,,Very liberal,Male
31,70-79,White,,No,Rural,Rural,South,"$25,000 - $34,999","High school graduate, GED, or equivalent",Retired,I live alone,,Moderate,Female
32,50-59,Other,,Yes,Suburban,Suburban,West,"$25,000 - $34,999",Bachelor's degree,Working full-time,I live with a spouse or romantic partner,,Somewhat liberal,Male
33,70-79,White,,Yes,Suburban,Suburban,South,"$15,000 - $24,999",Some college or associate's degree,Retired,I live alone,,Somewhat liberal,Female
34,50-59,White,,Yes,Urban,Suburban,Midwest,"$100,000 - $149,999",Graduate or professional degree,Unemployed,I live with a spouse or romantic partner,,Moderate,Female
35,50-59,White,,Yes,Suburban,Suburban,South,"$100,000 - $149,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Somewhat conservative,Female
36,60-69,White,,No,Rural,Rural,Midwest,"$50,000 - $74,999",Some college or associate's degree,Working full-time,I live with a spouse or romantic partner,,Somewhat conservative,Female
37,70-79,White,,No,Suburban,Suburban,South,"$35,000 - $49,999",Some college or associate's degree,Retired,I live alone,,Moderate,Female
38,50-59,White,,No,Suburban,Suburban,South,"$25,000 - $34,999","High school graduate, GED, or equivalent",Unemployed,I live with a spouse or romantic partner,,Moderate,Female
39,60-69,White,,Yes,Suburban,Suburban,South,"$25,000 - $34,999",Some college or associate's degree,Working part-time,I live alone,,Moderate,Female
40,50-59,Other,Hispanic,Yes,Rural,Rural,Northeast,"Less than $10,000",Less than high school,Unemployed,I live with a spouse or romantic partner,,Very conservative,Female
41,70-79,White,,No,Suburban,Suburban,Northeast,"$25,000 - $34,999","High school graduate, GED, or equivalent",Retired,I live with a spouse or romantic partner,,Very conservative,Male
42,50-59,White,,No,Urban,Suburban,South,"$150,000 - $199,999",Graduate or professional degree,Working full-time,I live with a spouse or romantic partner,,Somewhat liberal,Male
43,60-69,Black or African American,,No,Urban,Urban,Northeast,"$100,000 - $149,999",Bachelor's degree,Working full-time,I live with a spouse or romantic partner,,Moderate,Female
44,50-59,Black or African American,,No,Rural,Rural,Northeast,"$35,000 - $49,999",Some college or associate's degree,Unemployed,I live with family members,,Moderate,Female
45,60-69,White,,No,Suburban,Suburban,Northeast,"$100,000 - $149,999",Some college or associate's degree,Working full-time,I live alone,,Moderate,Female
46,50-59,White,,No,Urban,Urban,Northeast,"$35,000 - $49,999",Graduate or professional degree,Working full-time,I live alone,,Very liberal,Female
47,70-79,White,,No,Urban,Urban,South,"$75,000 - $99,999",Graduate or professional degree,Working full-time,I live with a spouse or romantic partner,,Very conservative,Male
48,50-59,White,,No,Rural,Rural,Midwest,"$50,000 - $74,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Very liberal,Female
49,70-79,White,,No,Suburban,Suburban,Northeast,"$150,000 - $199,999",Graduate or professional degree,Retired,I live with a spouse or romantic partner,,Somewhat liberal,Male
50,70-79,White,,No,Suburban,Suburban,South,"$75,000 - $99,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Very liberal,Male
51,60-69,White,,No,Suburban,Suburban,Northeast,"$100,000 - $149,999","High school graduate, GED, or equivalent",Unemployed,I live with a spouse or romantic partner,,Somewhat conservative,Female
52,70-79,White,,No,Urban,Urban,Midwest,"$35,000 - $49,999",Graduate or professional degree,Retired,I live alone,,Somewhat liberal,Male
53,60-69,White,,No,Rural,Suburban,South,"$10,000 - $14,999",Bachelor's degree,Working part-time,I live alone,,Moderate,Female
54,50-59,White,,No,Suburban,Suburban,West,"$50,000 - $74,999",Some college or associate's degree,Working full-time,I live alone,,Somewhat liberal,Female
55,50-59,Black or African American,,No,Suburban,Suburban,Midwest,"$35,000 - $49,999",Graduate or professional degree,Working full-time,I live with family members,,Moderate,Female
56,70-79,White,,No,Urban,Urban,Northeast,"$15,000 - $24,999","High school graduate, GED, or equivalent",Retired,I live with family members,,Moderate,Female
57,70-79,White,,No,Rural,Rural,South,"$15,000 - $24,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Very conservative,Male
58,50-59,White,,No,Rural,Rural,Northeast,"$75,000 - $99,999",Some college or associate's degree,On disability,I live with a spouse or romantic partner,,Very conservative,Female
59,50-59,White,,No,Urban,Urban,South,"$25,000 - $34,999","High school graduate, GED, or equivalent",Working full-time,I live with family members,,Moderate,Female
60,50-59,White,,No,Rural,Rural,Northeast,"$15,000 - $24,999",Less than high school,Working part-time,I live alone,,Very conservative,Female
61,60-69,White,,No,Suburban,Suburban,West,"$100,000 - $149,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Very conservative,Male
62,60-69,Other,Caucasian,No,Urban,Suburban,Midwest,"$25,000 - $34,999",Some college or associate's degree,Working part-time,I live with family members,,Moderate,Female
63,50-59,Black or African American,,No,Suburban,Urban,South,"$15,000 - $24,999",Some college or associate's degree,Unemployed,I live with a spouse or romantic partner,,Moderate,Female
64,60-69,White,,No,Suburban,Suburban,Northeast,"$50,000 - $74,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Somewhat conservative,Female
65,70-79,Black or African American,,No,Suburban,Suburban,South,"Less than $10,000","High school graduate, GED, or equivalent",Unemployed,Other,kids,Somewhat liberal,Female
