respondent_id,Do you consider yourself to be an older adult?,I have heard _______________ about age discrimination.,In recent years I have been discriminated against or treated more negatively by others because of my older age.,In recent years I have avoided certain social settings out of concern that I might be treated negatively because of my age.,Age discrimination is too often excused.,Age discrimination is a major problem in our society.,I have had experiences with age discrimination that have caused me mental or emotional stress.,Age discrimination is taken too seriously.,Have you or anyone you know ever seen or been the target of discrimination in the workplace based on older age?,Have you or anyone you know ever seen or been the target of discrimination based on older age while applying or interviewing for jobs?,Have you or anyone you know ever seen discriminatory depictions of older age in product marketing or advertisements?,Have you or anyone you know ever seen discriminatory depictions of older age in television shows or movies?,How acceptable do you believe it is for organizations to use age-related information in algorithms to show you targeted ads for products and services?,How acceptable do you believe it is for organizations to use age-related information in algorithms to review employment applications?,How acceptable do you believe it is for organizations to use age-related information in algorithms to review applications for social services?,Have you ever been aware of an automated algorithm used to review an application of yours for a job or employment?,Have you ever been aware of an automated algorithm used to present you with a product advertisement?,Have you ever been aware of an automated algorithm used to review an application of yours for a public or social service?
R_1I5depz6ASpP2YF,Yes,Some,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Yes,No,No,Yes,Somewhat acceptable,Not very acceptable,Very acceptable,No,No,Yes
R_27sAwU5dMyvKR8P,Yes,A great deal,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Yes,Yes,Yes,Yes,Not very acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_2vYT6suV4FhYAHk,Yes,Some,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,No,Yes,No,No,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2BnzNYeKLHABEei,Yes,A little,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Yes,No,No
R_A6vEunsl5EoPDpv,Yes,A great deal,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Somewhat acceptable,Not at all acceptable,No,No,No
R_3fJfPSVmVDNnwSV,Yes,A great deal,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,No,No,No,No,Not very acceptable,Somewhat acceptable,Not very acceptable,No,Yes,No
R_2WBVl0niLFn9elJ,Yes,A great deal,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Yes,No,No,Yes,Not very acceptable,Not at all acceptable,Not very acceptable,No,Yes,No
R_3r05gWBZNv3oDVT,Yes,Some,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_2RVSQMPKzVgYL6h,Yes,A great deal,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,No,No,No,No,Very acceptable,Somewhat acceptable,Not very acceptable,No,No,No
R_pyBFvQ1UFMyVIK5,Yes,A great deal,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,No,Yes,Yes,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,Yes
