,annID,postCategory,postId,toyou,toany,intent,racist,off_avg,empathy,racism,harmHateSpeech,lingPurism,freeSpeech,traditionalism,altruism,divSocialCircle,annotatorGender,manVsWoman,annotatorRace,whiteVsBlack,annotatorPolitics,politicallyEngaged,sexualOrientation,straightOrNot,bornUS,BLMsupport,socialMediaUsage,nLanguagesSpoken
0,0,Vulgar,1,1,2,1,1,1.5,1.0,-1.0,1.0,1.0,-0.4,1.0,0.75,-0.6666666666666666,man,0.0,white,0.0,0.5,1.0,straight,0,1,-1.0,5,1
1,0,AAE,1,1,2,2,1,1.5,1.0,-1.0,1.0,1.0,-0.4,1.0,0.75,-0.6666666666666666,man,0.0,white,0.0,0.5,1.0,straight,0,1,-1.0,5,1
2,0,targetsBlackPeople,1,3,5,5,5,4.0,1.0,-1.0,1.0,1.0,-0.4,1.0,0.75,-0.6666666666666666,man,0.0,white,0.0,0.5,1.0,straight,0,1,-1.0,5,1
3,0,Vulgar,2,2,3,4,1,2.5,1.0,-1.0,1.0,1.0,-0.4,1.0,0.75,-0.6666666666666666,man,0.0,white,0.0,0.5,1.0,straight,0,1,-1.0,5,1
4,0,AAE,2,1,2,2,1,1.5,1.0,-1.0,1.0,1.0,-0.4,1.0,0.75,-0.6666666666666666,man,0.0,white,0.0,0.5,1.0,straight,0,1,-1.0,5,1
5,0,targetsBlackPeople,2,5,5,5,5,5.0,1.0,-1.0,1.0,1.0,-0.4,1.0,0.75,-0.6666666666666666,man,0.0,white,0.0,0.5,1.0,straight,0,1,-1.0,5,1
6,0,Vulgar,3,1,1,1,1,1.0,1.0,-1.0,1.0,1.0,-0.4,1.0,0.75,-0.6666666666666666,man,0.0,white,0.0,0.5,1.0,straight,0,1,-1.0,5,1
7,0,AAE,3,1,5,5,1,3.0,1.0,-1.0,1.0,1.0,-0.4,1.0,0.75,-0.6666666666666666,man,0.0,white,0.0,0.5,1.0,straight,0,1,-1.0,5,1
8,0,targetsBlackPeople,3,5,5,5,5,5.0,1.0,-1.0,1.0,1.0,-0.4,1.0,0.75,-0.6666666666666666,man,0.0,white,0.0,0.5,1.0,straight,0,1,-1.0,5,1
9,0,Vulgar,4,1,1,1,1,1.0,1.0,-1.0,1.0,1.0,-0.4,1.0,0.75,-0.6666666666666666,man,0.0,white,0.0,0.5,1.0,straight,0,1,-1.0,5,1
10,0,AAE,4,1,1,1,1,1.0,1.0,-1.0,1.0,1.0,-0.4,1.0,0.75,-0.6666666666666666,man,0.0,white,0.0,0.5,1.0,straight,0,1,-1.0,5,1
11,0,targetsBlackPeople,4,4,5,3,4,4.5,1.0,-1.0,1.0,1.0,-0.4,1.0,0.75,-0.6666666666666666,man,0.0,white,0.0,0.5,1.0,straight,0,1,-1.0,5,1
12,1,Vulgar,1,1,1,1,1,1.0,0.0,-1.0,1.0,0.0,-0.6,-0.375,0.75,-0.3333333333333333,man,0.0,black,1.0,-1.0,-0.5,straight,0,1,1.0,5,1
13,1,AAE,1,2,2,2,1,2.0,0.0,-1.0,1.0,0.0,-0.6,-0.375,0.75,-0.3333333333333333,man,0.0,black,1.0,-1.0,-0.5,straight,0,1,1.0,5,1
14,1,targetsBlackPeople,1,3,3,3,3,3.0,0.0,-1.0,1.0,0.0,-0.6,-0.375,0.75,-0.3333333333333333,man,0.0,black,1.0,-1.0,-0.5,straight,0,1,1.0,5,1
15,1,Vulgar,2,1,1,1,1,1.0,0.0,-1.0,1.0,0.0,-0.6,-0.375,0.75,-0.3333333333333333,man,0.0,black,1.0,-1.0,-0.5,straight,0,1,1.0,5,1
16,1,AAE,2,1,1,1,1,1.0,0.0,-1.0,1.0,0.0,-0.6,-0.375,0.75,-0.3333333333333333,man,0.0,black,1.0,-1.0,-0.5,straight,0,1,1.0,5,1
17,1,targetsBlackPeople,2,3,4,5,4,3.5,0.0,-1.0,1.0,0.0,-0.6,-0.375,0.75,-0.3333333333333333,man,0.0,black,1.0,-1.0,-0.5,straight,0,1,1.0,5,1
18,1,Vulgar,3,1,1,1,1,1.0,0.0,-1.0,1.0,0.0,-0.6,-0.375,0.75,-0.3333333333333333,man,0.0,black,1.0,-1.0,-0.5,straight,0,1,1.0,5,1
19,1,AAE,3,1,1,1,1,1.0,0.0,-1.0,1.0,0.0,-0.6,-0.375,0.75,-0.3333333333333333,man,0.0,black,1.0,-1.0,-0.5,straight,0,1,1.0,5,1
20,1,targetsBlackPeople,3,5,5,5,5,5.0,0.0,-1.0,1.0,0.0,-0.6,-0.375,0.75,-0.3333333333333333,man,0.0,black,1.0,-1.0,-0.5,straight,0,1,1.0,5,1
21,1,Vulgar,4,1,1,1,1,1.0,0.0,-1.0,1.0,0.0,-0.6,-0.375,0.75,-0.3333333333333333,man,0.0,black,1.0,-1.0,-0.5,straight,0,1,1.0,5,1
22,1,AAE,4,1,1,1,1,1.0,0.0,-1.0,1.0,0.0,-0.6,-0.375,0.75,-0.3333333333333333,man,0.0,black,1.0,-1.0,-0.5,straight,0,1,1.0,5,1
23,1,targetsBlackPeople,4,4,5,4,5,4.5,0.0,-1.0,1.0,0.0,-0.6,-0.375,0.75,-0.3333333333333333,man,0.0,black,1.0,-1.0,-0.5,straight,0,1,1.0,5,1
24,2,Vulgar,1,1,1,1,1,1.0,0.875,-0.5,0.8333333333333334,1.0,-0.3,0.625,0.5,-0.8333333333333334,woman,1.0,white,0.0,1.0,1.0,straight,0,1,0.0,5,1
25,2,AAE,1,1,1,1,1,1.0,0.875,-0.5,0.8333333333333334,1.0,-0.3,0.625,0.5,-0.8333333333333334,woman,1.0,white,0.0,1.0,1.0,straight,0,1,0.0,5,1
26,2,targetsBlackPeople,1,4,4,4,5,4.0,0.875,-0.5,0.8333333333333334,1.0,-0.3,0.625,0.5,-0.8333333333333334,woman,1.0,white,0.0,1.0,1.0,straight,0,1,0.0,5,1
27,2,Vulgar,2,3,3,5,1,3.0,0.875,-0.5,0.8333333333333334,1.0,-0.3,0.625,0.5,-0.8333333333333334,woman,1.0,white,0.0,1.0,1.0,straight,0,1,0.0,5,1
28,2,AAE,2,4,4,4,1,4.0,0.875,-0.5,0.8333333333333334,1.0,-0.3,0.625,0.5,-0.8333333333333334,woman,1.0,white,0.0,1.0,1.0,straight,0,1,0.0,5,1
29,2,targetsBlackPeople,2,3,3,3,3,3.0,0.875,-0.5,0.8333333333333334,1.0,-0.3,0.625,0.5,-0.8333333333333334,woman,1.0,white,0.0,1.0,1.0,straight,0,1,0.0,5,1
30,2,Vulgar,3,1,1,1,1,1.0,0.875,-0.5,0.8333333333333334,1.0,-0.3,0.625,0.5,-0.8333333333333334,woman,1.0,white,0.0,1.0,1.0,straight,0,1,0.0,5,1
31,2,AAE,3,3,3,3,1,3.0,0.875,-0.5,0.8333333333333334,1.0,-0.3,0.625,0.5,-0.8333333333333334,woman,1.0,white,0.0,1.0,1.0,straight,0,1,0.0,5,1
32,2,targetsBlackPeople,3,3,3,3,2,3.0,0.875,-0.5,0.8333333333333334,1.0,-0.3,0.625,0.5,-0.8333333333333334,woman,1.0,white,0.0,1.0,1.0,straight,0,1,0.0,5,1
33,2,Vulgar,4,1,1,1,1,1.0,0.875,-0.5,0.8333333333333334,1.0,-0.3,0.625,0.5,-0.8333333333333334,woman,1.0,white,0.0,1.0,1.0,straight,0,1,0.0,5,1
34,2,AAE,4,1,1,1,1,1.0,0.875,-0.5,0.8333333333333334,1.0,-0.3,0.625,0.5,-0.8333333333333334,woman,1.0,white,0.0,1.0,1.0,straight,0,1,0.0,5,1
35,2,targetsBlackPeople,4,3,3,3,4,3.0,0.875,-0.5,0.8333333333333334,1.0,-0.3,0.625,0.5,-0.8333333333333334,woman,1.0,white,0.0,1.0,1.0,straight,0,1,0.0,5,1
