respondent_id,Please indicate your age,Please indicate your race - Selected Choice,Please indicate your race - Other - Text,Are you Hispanic or Latino?,How would you describe the area where you grew up?,How would you describe the area in which you currently live?,In which region of the United States do you currently live?,Please indicate your annual household income,Education,Which employment status best describes you?,How would you describe your current living situation (check all that apply) - Selected Choice,How would you describe your current living situation (check all that apply) - Other - Text,Please indicate your political identification,Please indicate your gender
R_1I5depz6ASpP2YF,60-69,White,,Yes,Rural,Rural,West,"$15,000 - $24,999","High school graduate, GED, or equivalent",Retired,I live with a spouse or romantic partner,,Moderate,Male
R_27sAwU5dMyvKR8P,60-69,White,,Yes,Suburban,Suburban,South,"$100,000 - $149,999",Bachelor's degree,Working full-time,I live with a spouse or romantic partner,,Somewhat conservative,Male
R_2vYT6suV4FhYAHk,50-59,White,,Yes,Urban,Urban,South,"$15,000 - $24,999","High school graduate, GED, or equivalent",Unemployed,I live alone,,Moderate,Female
R_2BnzNYeKLHABEei,50-59,White,,Yes,Suburban,Suburban,West,"$35,000 - $49,999",Bachelor's degree,Unemployed,I live with family members,,Very conservative,Female
R_A6vEunsl5EoPDpv,70-79,White,,Yes,Urban,Suburban,South,"$35,000 - $49,999",Bachelor's degree,Retired,I live with family members,,Somewhat conservative,Female
R_3fJfPSVmVDNnwSV,60-69,White,,Yes,Urban,Urban,Midwest,"$100,000 - $149,999","High school graduate, GED, or equivalent",Working full-time,I live with a spouse or romantic partner,,Somewhat conservative,Male
R_2WBVl0niLFn9elJ,60-69,White,,Yes,Suburban,Urban,Midwest,"$25,000 - $34,999","High school graduate, GED, or equivalent",On disability,I live with a spouse or romantic partner,,Somewhat liberal,Male
R_3r05gWBZNv3oDVT,50-59,White,,Yes,Urban,Urban,West,"$50,000 - $74,999",Bachelor's degree,Working full-time,I live with family members,,Somewhat conservative,Male
R_2RVSQMPKzVgYL6h,60-69,White,,Yes,Urban,Urban,South,"$10,000 - $14,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Moderate,Female
R_pyBFvQ1UFMyVIK5,50-59,Black or African American,,Yes,Urban,Urban,Northeast,"Less than $10,000",Some college or associate's degree,On disability,I live with a spouse or romantic partner,,Somewhat liberal,Female
R_1nOZMXdItb3ndyg,50-59,White,,Yes,Suburban,Suburban,South,"$15,000 - $24,999",Some college or associate's degree,Retired,I live with family members,,Very conservative,Female
R_2DYyJkrMpwLQa1R,50-59,White,,Yes,Urban,Urban,South,"$15,000 - $24,999",Bachelor's degree,Working full-time,I live with family members,,Moderate,Female
R_1DNgjAY3UEWZ0cY,70-79,White,,Yes,Suburban,Suburban,West,"$50,000 - $74,999",Some college or associate's degree,Retired,I live alone,,Moderate,Female
R_um1uN1qA26hCGWt,50-59,White,,Yes,Rural,Urban,Northeast,"Less than $10,000",Some college or associate's degree,On disability,I live with family members,,Moderate,Female
R_3iFkZsqgPlEdip0,70-79,White,,Yes,Suburban,Suburban,West,"$50,000 - $74,999","High school graduate, GED, or equivalent",Retired,I live with a spouse or romantic partner,,Somewhat conservative,Female
R_3O2oZt1CSyajAp3,60-69,White,,Yes,Rural,Urban,West,"$15,000 - $24,999",Some college or associate's degree,On disability,I live with family members,,Somewhat liberal,Female
R_3hhxJZ7lbzmKDRa,60-69,Black or African American,,Yes,Urban,Urban,Midwest,"$50,000 - $74,999",Some college or associate's degree,Working full-time,I live with a spouse or romantic partner,,Moderate,Male
R_yryBGY1HcMufVDP,50-59,White,,Yes,Suburban,Suburban,Midwest,"$25,000 - $34,999",Some college or associate's degree,On disability,I live with a spouse or romantic partner,,Very conservative,Female
R_1Q583LMM1Y0MnTQ,50-59,White,,Yes,Urban,Urban,Northeast,"$50,000 - $74,999",Graduate or professional degree,Working full-time,I live with a spouse or romantic partner,,Moderate,Female
R_ROat0DEbUWO4USZ,60-69,White,,Yes,Urban,Urban,South,"$100,000 - $149,999",Some college or associate's degree,Working full-time,I live with a spouse or romantic partner,,Somewhat conservative,Male
R_2dYEKmjPPDzHdWK,60-69,White,,Yes,Rural,Suburban,South,"$75,000 - $99,999",Some college or associate's degree,Working full-time,I live with a spouse or romantic partner,,Very conservative,Female
R_88rUOre21x1uFzj,60-69,Black or African American,,No,Urban,Urban,West,"$10,000 - $14,999",Some college or associate's degree,On disability,I live alone,,Somewhat conservative,Female
R_2v8rV7Ca1iS18to,60-69,White,,No,Urban,Urban,West,"$100,000 - $149,999",Graduate or professional degree,On disability,I live with a spouse or romantic partner,,Very liberal,Male
R_0H7jeIMm5pV11fz,50-59,American Indian or Alaska Native,,Yes,Urban,Rural,Northeast,"$10,000 - $14,999","High school graduate, GED, or equivalent",On disability,I live alone,,Very liberal,Female
R_1Q5e81duDXvXxKj,50-59,White,,Yes,Rural,Rural,South,"$35,000 - $49,999","High school graduate, GED, or equivalent",Unemployed,I live with a spouse or romantic partner,,Moderate,Female
R_1d0KM7jMHnInzID,70-79,White,,No,Suburban,Suburban,South,"$15,000 - $24,999",Some college or associate's degree,Retired,I live alone,,Somewhat conservative,Female
R_6Gpg9oK8GbVKrfz,60-69,Other,Mixed,Yes,Suburban,Suburban,Northeast,"$50,000 - $74,999",Graduate or professional degree,Working part-time,I live alone,,Moderate,Female
R_2P09pxi3f97SjmC,50-59,White,,Yes,Urban,Rural,Midwest,"$50,000 - $74,999",Some college or associate's degree,Working full-time,I live with a spouse or romantic partner,,Somewhat liberal,Female
R_2eWGOh7ayjbChpo,70-79,Other,Hispanic,Yes,Rural,Rural,Midwest,"$25,000 - $34,999","High school graduate, GED, or equivalent",Retired,I live with a spouse or romantic partner,,Somewhat liberal,Male
R_2ZJilZyKgHWlt5P,50-59,White,,No,Suburban,Suburban,South,"$50,000 - $74,999",Bachelor's degree,Unemployed,I live with a spouse or romantic partner,,Very conservative,Female
R_1laGR7wF0PmMJcj,50-59,Black or African American,,No,Urban,Urban,West,"$10,000 - $14,999",Some college or associate's degree,Retired,I live alone,,Very liberal,Male
R_3NCJr1AtKOCIlQA,70-79,White,,No,Rural,Rural,South,"$25,000 - $34,999","High school graduate, GED, or equivalent",Retired,I live alone,,Moderate,Female
R_32MhJB47fCWq7KD,50-59,Other,,Yes,Suburban,Suburban,West,"$25,000 - $34,999",Bachelor's degree,Working full-time,I live with a spouse or romantic partner,,Somewhat liberal,Male
R_V23HpjP1cmZge8V,70-79,White,,Yes,Suburban,Suburban,South,"$15,000 - $24,999",Some college or associate's degree,Retired,I live alone,,Somewhat liberal,Female
R_33BfNBilcVzC8U2,50-59,White,,Yes,Urban,Suburban,Midwest,"$100,000 - $149,999",Graduate or professional degree,Unemployed,I live with a spouse or romantic partner,,Moderate,Female
R_2Pcy0501eyoVd8a,50-59,White,,Yes,Suburban,Suburban,South,"$100,000 - $149,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Somewhat conservative,Female
R_1gd12wOeCAzyYmG,60-69,White,,No,Rural,Rural,Midwest,"$50,000 - $74,999",Some college or associate's degree,Working full-time,I live with a spouse or romantic partner,,Somewhat conservative,Female
R_2CB8bFwIiD7UPAl,70-79,White,,No,Suburban,Suburban,South,"$35,000 - $49,999",Some college or associate's degree,Retired,I live alone,,Moderate,Female
