respondent_id,anxiety_score
R_1LSRF7fdqw4CcQ0,84
R_3QDYIzai00XwLOm,25
R_1rxAD567hiwFbjA,41
R_1CwHOQCz8lgYC3z,44
R_3JbgBOfyEDa92mt,49
R_2rITmAqupsmBlEm,30
R_27r3LvxoducJcSU,53
R_1LZ3E31stle4CtA,58
R_3iqdgZp8Sm71hjB,56
R_1F9ZqNGXhGWybsL,47
R_AzIEQdCfgPCXGFP,50
R_2XanE53IebMqqEC,43
R_3n2Bo7sRbHfmfzQ,55
R_WdLgJj0K9li87fP,66
R_11jXdp3rYf4Mkcv,72
R_1mf1xShM3I9Qsmm,53
R_PzKIWdL6XInMjwR,63
R_1IGVHB7JYNfu39K,44
R_1ODLX5ydj3h6eCU,44
R_Owddqp9GCu0NXCp,46
R_2X5xzEnnimFqnFq,25
R_2cu8eFy8oG40zjl,70
R_BsRDA9F8NXGRWUx,54
R_3O2oZt1CSyajAp3,49
R_2qqtD5jRdF3OdML,42
R_3L4P59QWi4Lta2Z,37
R_2tb9E1KaESEk4eH,40
R_1l4E0EoyPPRDUHu,68
R_26fGqXC4kB0DHqQ,28
R_3KMBbuiM55IrkpY,47
R_3JIMUPHJIQizZYP,36
R_3fIWXECaKITXKB6,39
R_3h4j0z7YgVkobFA,56
R_3oMbQpQNOMSJXRC,39
R_3RrSvhk7NatolVd,54
R_1N2LPpNSfhjpdV8,61
R_2ZIA8gjyuTsHMBi,42
R_3dMS0biEIiUXclX,60
R_2tEazbCbPwn2j6d,52
R_Zr79Mr6pe02REKR,52
R_2rVmv5HPUpLzYpX,28
R_2DYnzijIIK3QlG4,61
R_DNADBrpffsXSdDb,52
R_2Ytuaypv8BwC8uU,51
R_3CneVj2VLtDPQ8V,48
R_1d0KM7jMHnInzID,44
R_w04d6o0WUx3t8BP,55
R_3OjfmSksXtVXFG7,48
R_1NCZVer8uosQHiE,30
R_1rjMoj8W68IM5dN,44
R_PGrLF42oxirSYDf,48
R_1gLNJgBJQ43m3rc,49
R_Q4cRoojDz29Gjol,60
R_3fP575Tw6XFk2ZQ,59
R_3NVu5KGaIy6zKEl,40
R_BM6pOWvYoMIw4nf,53
R_2ckO7kdY6DWSozr,57
R_3lFTmZJTDYJlc3L,37
R_2OTiGS8sGbcp2Qg,50
R_30wuDbCKF8c5Mce,53
R_1FS2s0R1waCQFfm,62
R_1gA2C1ea7peyPEd,39
R_2taWXUmopbWS0nf,50
R_1rrbpbIFzsjFmi8,35
R_25QoKAXDpKbnzZ2,54
R_2PmT05R99yUK8s5,44
R_bDebaxTDLqoj4yZ,44
R_2ALSuBNvDa5brHY,63
R_3RehDJqOexr5pD1,35
R_2dLwqI6kf1P9eDX,35
R_9TTsrlhCzeRHb5n,67
R_2D6oXP9D502HhUO,48
R_3kyWmXAI1tOHq00,42
R_poVtJk48V8H52vv,47
R_1OjYUlAUW8wxq6F,47
R_1j80tKGk2YtqyHo,31
R_1Ao6QqsWkavZIoF,71
R_2ASE80Ogw5BkDeP,58
R_22lxlhuN8Ey2QeB,41
R_3KOylYw88rI0goK,52
R_1IMjmySR9YhxjBk,47
R_tE5vBhIT7fWXEYx,58
R_zd3fPzXj0QOpXhf,53
R_bDCdrYwJ9oeDH5D,43
R_1jpM8jj1oDuaDe3,67
R_9QUcmMseiL82Tzb,46
R_2s09pWM8SK7HsZJ,41
R_qWoAwMB4lEZpkIN,42
R_3oOaZAtnfK9YdwE,60
R_dcVPn7uBtCDxa7L,31
R_1IGKuHpqNgRsv3A,42
R_2TMYoTMHgYadHhg,68
R_3qI65LFWrrsFTN4,36
R_2q9JNU9bl0z6qaY,76
R_qwmnzb4bPmEmXxT,64
R_2ZJilZyKgHWlt5P,48
