annotator_id,age_range,education,gender,gender_other,identify_as_transgender,is_parent,lgbtq_status,personally_been_target,personally_seen_toxic_content,political_affilation,race,religion_important,technology_impact,toxic_comments_problem,uses_media_forums,uses_media_news,uses_media_social,uses_media_video
0,25 - 34,Bachelor's degree in college (4-year),Female,,No,No,Heterosexual,True,True,Liberal,White,Not important,Somewhat positive,Frequently a problem,True,False,True,True
1,25 - 34,Bachelor's degree in college (4-year),Male,,No,No,Heterosexual,True,True,Liberal,White,Not important,Neutral â neither positive nor negative,Very frequently a problem,True,True,True,True
2,35 - 44,Some college but no degree,Female,,No,Yes,Heterosexual,True,True,Liberal,Black or African American,Not important,Somewhat positive,Frequently a problem,False,False,True,True
3,35 - 44,Bachelor's degree in college (4-year),Male,,No,Yes,Heterosexual,False,False,Independent,Black or African American,Very important,Somewhat positive,Frequently a problem,True,False,True,True
4,35 - 44,Doctoral degree,Male,,No,Yes,Heterosexual,False,True,Liberal,Black or African American,Not important,Somewhat positive,Occasionally a problem,True,True,True,True
5,18 - 24,Associate degree in college (2-year),Female,,No,No,Heterosexual,True,True,Liberal,White,Very important,Somewhat positive,Frequently a problem,True,True,True,True
6,25 - 34,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,False,True,Liberal,White,Not important,Very positive,Frequently a problem,True,True,True,True
7,18 - 24,Some college but no degree,Male,,No,No,Heterosexual,False,True,Conservative,White,Somewhat important,Somewhat positive,Occasionally a problem,True,False,True,True
8,25 - 34,Master's degree,Male,,No,No,Prefer not to say,True,True,Independent,Prefer not to say,Somewhat important,Very positive,Not a problem,False,False,True,False
9,18 - 24,High school graduate (high school diploma or equivalent including GED),Female,,No,Yes,Heterosexual,True,True,Conservative,White,Not important,Somewhat positive,Rarely a problem,True,True,True,True
10,45 - 54,Some college but no degree,Male,,No,No,Homosexual,False,False,Liberal,White,Not important,Somewhat positive,Frequently a problem,False,True,True,True
11,45 - 54,Bachelor's degree in college (4-year),Female,,No,Yes,Homosexual,False,True,Liberal,White,Not too important,Neutral â neither positive nor negative,Occasionally a problem,True,True,True,True
12,35 - 44,"Professional degree (JD, MD)",Female,,No,Yes,Heterosexual,False,True,Independent,White,Very important,Somewhat positive,Occasionally a problem,True,False,True,True
13,25 - 34,Master's degree,Male,,No,Yes,Heterosexual,True,True,Independent,White,Not too important,Somewhat positive,Rarely a problem,False,False,False,True
14,35 - 44,High school graduate (high school diploma or equivalent including GED),Female,,No,Yes,Heterosexual,True,True,Conservative,White,Very important,Somewhat positive,Very frequently a problem,True,False,True,True
15,35 - 44,High school graduate (high school diploma or equivalent including GED),Male,,No,No,Heterosexual,False,False,Conservative,White,Not important,Somewhat positive,Occasionally a problem,False,False,True,True
16,55 - 64,Bachelor's degree in college (4-year),Male,,No,Yes,Heterosexual,False,False,Conservative,White,Somewhat important,Neutral â neither positive nor negative,Occasionally a problem,False,False,True,False
17,25 - 34,Master's degree,Male,,No,Yes,Bisexual,False,False,Independent,White,Somewhat important,Somewhat positive,Rarely a problem,False,False,True,False
18,35 - 44,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,False,True,Independent,White,Not too important,Somewhat positive,Occasionally a problem,False,False,True,False
19,25 - 34,Some college but no degree,Female,,No,Yes,Heterosexual,False,True,Prefer not to say,White,Not too important,Somewhat positive,Very frequently a problem,False,True,False,True
20,45 - 54,Master's degree,Male,,No,Yes,Heterosexual,False,False,Independent,White,Somewhat important,Very positive,Occasionally a problem,False,True,True,True
21,25 - 34,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,False,False,Conservative,White,Very important,Somewhat negative,Occasionally a problem,True,False,False,True
22,45 - 54,"Professional degree (JD, MD)",Female,,No,Yes,Heterosexual,False,True,Liberal,White,Not important,Somewhat negative,Frequently a problem,False,True,True,True
23,18 - 24,Some college but no degree,Female,,No,No,Heterosexual,False,True,Conservative,White,Somewhat important,Very positive,Frequently a problem,True,False,True,True
24,18 - 24,Associate degree in college (2-year),Female,,No,No,Heterosexual,False,True,Liberal,White,Very important,Neutral â neither positive nor negative,Very frequently a problem,True,True,True,True
25,25 - 34,Associate degree in college (2-year),Male,,No,No,Homosexual,False,True,Independent,White,Not important,Somewhat negative,Very frequently a problem,False,False,True,True
26,65 or older,Some college but no degree,Male,,No,Yes,Heterosexual,False,True,Conservative,White,Somewhat important,Somewhat positive,Frequently a problem,False,True,True,True
27,25 - 34,Some college but no degree,Male,,No,No,Heterosexual,True,True,Conservative,White,Very important,Very positive,Occasionally a problem,False,True,True,True
28,65 or older,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,True,False,Liberal,White,Very important,Neutral â neither positive nor negative,Rarely a problem,False,True,True,False
29,18 - 24,Some college but no degree,Male,,No,No,Bisexual,False,True,Liberal,White,Not too important,Somewhat positive,Frequently a problem,True,True,True,True
30,25 - 34,Some college but no degree,Male,,No,Yes,Heterosexual,True,True,Conservative,Black or African American,Very important,Very positive,Frequently a problem,True,True,True,True
31,25 - 34,High school graduate (high school diploma or equivalent including GED),Male,,No,No,Heterosexual,False,True,Independent,White,Not important,Very positive,Rarely a problem,True,False,True,True
